"time,servertime,latitude,longitude,""HDT - Heading True"",""SOG - Speed over Ground"",""COG - Course over Ground"",Heel,""Trim Fore / Aft"",""GPS Satellites"",""GPS HAcc"",""Battery Charge"",""Battery 1 Voltage"",""Battery 1 Current"",""Battery 1 Temperature"""
"2024-06-15 12:17:56.599,""2024-06-15 12:17:57.107"",47.668240,8.984715,291.39,0.0128149,291.39,-5.11,-0.83,16,0.6865,64,3.887,-0.4248,-244.1"
"2024-06-15 12:17:57.599,""2024-06-15 12:17:58.027"",47.668240,8.984714,291.39,0.01573471,291.39,-5.12,-0.83,16,0.6768,64,3.887,-0.4209,-244.1"
"2024-06-15 12:17:58.599,""2024-06-15 12:17:58.86"",47.668240,8.984713,291.39,0.01502038,291.39,-5.12,-0.83,16,0.6689,64,3.887,-0.4219,-244.1"
"2024-06-15 12:17:59.599,""2024-06-15 12:17:59.92"",47.668240,8.984713,291.39,0.01326121,291.39,-5.13,-0.82,16,0.6606,64,3.887,-0.4189,-244.1"
"2024-06-15 12:18:00.599,""2024-06-15 12:18:00.81"",47.668240,8.984712,291.39,0.01384168,291.39,-5.12,-0.81,16,0.6538,64,3.887,-0.4199,-244.1"
"2024-06-15 12:18:01.599,""2024-06-15 12:18:01.801"",47.668240,8.984711,291.39,0.01262934,291.39,-5.12,-0.8,16,0.647,64,3.887,-0.4199,-244.1"
"2024-06-15 12:18:02.599,""2024-06-15 12:18:02.913"",47.668240,8.984711,291.39,0.009899562,291.39,-5.13,-0.82,16,0.6406,64,3.887,-0.4158,-244.1"
"2024-06-15 12:18:03.599,""2024-06-15 12:18:03.932"",47.668239,8.984710,291.39,0.02001655,291.39,-5.12,-0.8,16,0.6348,64,3.887,-0.4158,-244.1"
"2024-06-15 12:18:04.599,""2024-06-15 12:18:04.867"",47.668239,8.984710,291.39,0.01233995,291.39,-5.12,-0.79,16,0.6289,64,3.887,-0.4148,-244.1"
"2024-06-15 12:18:05.599,""2024-06-15 12:18:05.84"",47.668238,8.984709,291.39,0.01327007,291.39,-5.16,-0.79,16,0.6235,64,3.887,-0.4209,-244.1"
"2024-06-15 12:18:06.599,""2024-06-15 12:18:06.905"",47.668238,8.984709,291.39,0.009505208,291.39,-5.15,-0.78,16,0.6187,64,3.887,-0.417,-244.1"
"2024-06-15 12:18:07.599,""2024-06-15 12:18:07.868"",47.668238,8.984708,291.39,0.01422651,291.39,-5.14,-0.78,16,0.6138,64,3.887,-0.4138,-244.1"
"2024-06-15 12:18:08.599,""2024-06-15 12:18:08.832"",47.668237,8.984708,291.39,0.01468397,291.39,-5.14,-0.79,16,0.6089,64,3.887,-0.4119,-244.1"
"2024-06-15 12:18:09.599,""2024-06-15 12:18:10.243"",47.668237,8.984708,291.39,0.01665739,291.39,-5.15,-0.79,16,0.6035,64,3.887,-0.4128,-244.1"
"2024-06-15 12:18:10.599,""2024-06-15 12:18:10.828"",47.668237,8.984707,291.39,0.0143416,291.39,-5.16,-0.81,16,0.5996,64,3.887,-0.4109,-244.1"
"2024-06-15 12:18:11.599,""2024-06-15 12:18:11.809"",47.668237,8.984707,291.39,0.01388988,291.39,-5.17,-0.82,16,0.5947,64,3.887,-0.4128,-244.1"
"2024-06-15 12:18:12.499,""2024-06-15 12:18:12.961"",47.668237,8.984707,291.39,0.02011196,291.39,-5.16,-0.82,16,0.5908,64,3.887,-0.4109,-244.1"
"2024-06-15 12:18:13.599,""2024-06-15 12:18:13.866"",47.668237,8.984706,291.39,0.01167047,291.39,-5.15,-0.85,16,0.5869,64,3.887,-0.4109,-244.1"
"2024-06-15 12:18:14.599,""2024-06-15 12:18:15.03"",47.668237,8.984706,291.39,0.007503578,291.39,-5.14,-0.85,16,0.584,64,3.885,-0.4109,-243.1"
"2024-06-15 12:18:15.599,""2024-06-15 12:18:15.822"",47.668237,8.984706,291.39,0.01236973,291.39,-5.15,-0.83,16,0.5806,64,3.885,-0.4089,-243.1"
